# M_uv LF sig_pos sig_neg
-24.0 7.4e-11 nan nan
-23.5 5.9e-09 nan nan
-23.0 1.9e-07 nan nan
-22.5 2.6e-06 nan nan
-22.0 1.7e-05 6.8e-6 6.8e-6
-21.5 6.5e-05 1.47e-5 1.47e-5
-21.0 1.7e-04 2.42e-5 2.42e-5
-20.5 3.6e-04 4.61e-5 4.61e-5
-20.0 6.8e-04 8.10e-5 8.10e-5
-19.5 1.2e-03 1.32e-4 1.32e-4
-19.0 2.0e-03 nan nan
-18.5 3.1e-03 7.4e-04 7.4e-04
-18.0 4.4e-03 8.7e-04 8.7e-04
-17.5 6.3e-03 1.3e-03 1.3e-03
-17.0 8.8e-03 1.8e-03 1.8e-03
-16.5 1.2e-02 2.4e-03 2.4e-03
-16.0 1.6e-02 3.3e-03 3.3e-03
-15.5 2.2e-02 4.4e-03 4.4e-03
-15.0 3.0e-02 5.9e-03 5.9e-03
-14.5 3.9e-02 7.9e-03 7.9e-03
-14.0 5.2e-02 1.0e-02 1.0e-02
-13.5 6.8e-02 5.2e-02 2.0e-02
-13.0 8.9e-02 8.9e-02 3.3e-02
-12.5 1.2e-01 1.7e-01 6.5e-02
-12.0 1.5e-01 2.7e-01 1.0e-01
-11.5 1.9e-01 3.9e-01 1.3e-01
-11.0 2.2e-01 nan nan
-10.5 2.0e-01 nan nan
-10.0 1.2e-01 nan nan
-9.5 4.3e-02 nan nan
-9.0 8.1e-03 nan nan
-8.5 7.8e-04 nan nan
-8.0 3.8e-05 nan nan
