# M_uv LF sig_pos sig_neg
-24.0 2.2e-13 nan nan
-23.5 2.0e-11 1.9e-11 1.5e-11
-23.0 6.6e-10 nan nan
-22.5 9.6e-09 nan nan
-22.0 7.5e-08 nan nan
-21.5 3.8e-07 nan nan
-21.0 1.5e-06 3.4e-06 1.1e-06
-20.5 4.8e-06 nan nan
-20.0 1.3e-05 1.3e-05 7.2e-06
-19.5 3.4e-05 nan nan
-19.0 5.7e-05 7.4e-05 3.6e-05
-18.5 9.5e-05 nan nan
-18.0 1.6e-04 2.1e-04 1.0e-04
-17.5 2.7e-04 5.4e-05 5.4e-05
-17.0 4.4e-04 8.8e-05 8.8e-05
-16.5 7.0e-04 1.4e-04 1.4e-04
-16.0 1.1e-03 2.2e-04 2.2e-04
-15.5 1.7e-03 3.4e-04 3.4e-04
-15.0 2.6e-03 5.2e-04 5.2e-04
-14.5 3.9e-03 7.8e-04 7.8e-04
-14.0 5.8e-03 nan nan
-13.5 8.5e-03 nan nan
-13.0 1.2e-02 nan nan
-12.5 1.8e-02 nan nan
-12.0 2.5e-02 nan nan
-11.5 3.6e-02 nan nan
-11.0 5.0e-02 nan nan
-10.5 6.9e-02 nan nan
-10.0 9.6e-02 nan nan
-9.5 1.3e-01 nan nan
-9.0 1.8e-01 nan nan
-8.5 2.4e-01 nan nan
-8.0 3.2e-01 nan nan
