reference,z,M_UV,log_phi,err_up,err_down,upper_lim
Bouwens et al. 2015,5.0,-16.36,-1.61261017,0.11174717,0.15085256,False
Bouwens et al. 2015,6.0,-22.52,-5.69897,0.30103,100.0,False
Bouwens et al. 2015,6.0,-22.02,-4.82390874,0.14612804,0.22184875,False
Bouwens et al. 2015,6.0,-21.52,-4.27572413,0.08863749,0.11149201,False
Bouwens et al. 2015,6.0,-21.02,-3.75448733,0.05768339,0.06653572,False
Bouwens et al. 2015,6.0,-20.52,-3.49485002,0.05235722,0.05954578,False
Bouwens et al. 2015,6.0,-20.02,-3.15614458,0.04879561,0.05498031,False
Bouwens et al. 2015,6.0,-19.52,-2.90448196,0.04530414,0.0505865,False
Bouwens et al. 2015,6.0,-18.77,-2.7212464,0.06759937,0.08009651,False
Bouwens et al. 2015,6.0,-17.77,-2.17522354,0.08155858,0.10050059,False
Bouwens et al. 2015,6.0,-16.77,-1.86518563,0.11658048,0.15984238,False
Bouwens et al. 2015,7.0,-22.66,-5.69897,,,True
Bouwens et al. 2015,7.0,-22.16,-6.0,0.47712125,100.0,False
Bouwens et al. 2015,7.0,-21.66,-4.48148606,0.10473535,0.1383027,False
Bouwens et al. 2015,7.0,-21.16,-4.31875876,0.11809931,0.1627273,False
Bouwens et al. 2015,7.0,-20.66,-3.71444269,0.07046855,0.08416018,False
Bouwens et al. 2015,7.0,-20.16,-3.51004152,0.07824324,0.0955068,False
Bouwens et al. 2015,7.0,-19.66,-3.18442225,0.0617936,0.07206798,False
Bouwens et al. 2015,7.0,-19.16,-3.04239271,0.077422,0.09428443,False
Bouwens et al. 2015,7.0,-18.66,-2.7652297,0.10666423,0.14169899,False
Bouwens et al. 2015,7.0,-17.91,-2.23358715,0.09691001,0.12493874,False
Bouwens et al. 2015,7.0,-16.91,-2.07058107,0.1290071,0.18434413,False
Bouwens et al. 2015,8.0,-22.87,-5.69897,,,True
Bouwens et al. 2015,8.0,-22.37,-5.69897,,,True
Bouwens et al. 2015,8.0,-21.87,-5.30103,0.20411998,0.39794001,False
Bouwens et al. 2015,8.0,-21.37,-4.88605665,0.14132915,0.21085337,False
Bouwens et al. 2015,8.0,-20.87,-4.23657201,0.09989487,0.12995954,False
Bouwens et al. 2015,8.0,-20.37,-4.22184875,0.1563472,0.24667233,False
Bouwens et al. 2015,8.0,-19.87,-3.48017201,0.11866126,0.16380214,False
Bouwens et al. 2015,8.0,-19.37,-3.27327279,0.15351457,0.23958883,False
Bouwens et al. 2015,8.0,-18.62,-2.97469413,0.12082217,0.16797337,False
Bouwens et al. 2015,8.0,-17.62,-2.56224944,0.13974124,0.20730164,False
Bouwens et al. 2015,10.0,-22.23,-6.0,,,True
Bouwens et al. 2015,10.0,-21.23,-6.0,0.30103,100.0,False
Bouwens et al. 2015,10.0,-20.23,-5.0,0.17609126,0.30103,False
Bouwens et al. 2015,10.0,-19.23,-4.30980392,,,True
Bouwens et al. 2015,10.0,-18.23,-3.57511836,0.2155998,0.44715803,False
Perez-Gonzalez et al. 2023,9.0,-19.5,-4.17,0.26,0.61,False
Perez-Gonzalez et al. 2023,9.0,-18.5,-3.53,0.15,0.23,False
Perez-Gonzalez et al. 2023,9.0,-17.5,-2.77,0.11,0.17,False
Perez-Gonzalez et al. 2023,9.0,-16.5,-2.3,0.16,0.27,False
Perez-Gonzalez et al. 2023,10.75,-18.5,-3.57,0.21,0.36,False
Perez-Gonzalez et al. 2023,10.75,-17.5,-2.82,0.21,0.4,False
Perez-Gonzalez et al. 2023,12.25,-18.3,-3.47,0.26,0.43,False
Perez-Gonzalez et al. 2023,12.25,-17.3,-2.87,0.28,0.53,False
Donnan et al. 2024,9.0,-20.75,-4.92081875,0.22184875,0.23408321,False
Donnan et al. 2024,9.0,-20.25,-4.49485002,0.14806254,0.1627273,False
Donnan et al. 2024,9.0,-19.75,-3.84163751,0.08218676,0.0939045,False
Donnan et al. 2024,9.0,-19.25,-3.62893214,0.09875415,0.10155492,False
Donnan et al. 2024,9.0,-18.55,-3.31336373,0.1215747,0.14630679,False
Donnan et al. 2024,9.0,-18.05,-2.95467702,0.10696537,0.14223299,False
Donnan et al. 2024,9.0,-17.55,-2.75055704,0.1223635,0.15010768,False
Donnan et al. 2024,10.0,-20.75,-5.39794001,0.54406804,inf,False
Donnan et al. 2024,10.0,-20.25,-4.56863624,0.17069623,0.20091484,False
Donnan et al. 2024,10.0,-19.75,-4.03621217,0.10439803,0.10645533,False
Donnan et al. 2024,10.0,-19.25,-3.75202673,0.11375457,0.12739934,False
Donnan et al. 2024,10.0,-18.55,-3.49349497,0.14477298,0.18428574,False
Donnan et al. 2024,10.0,-18.05,-3.16367588,0.13262557,0.17074312,False
Donnan et al. 2024,10.0,-17.55,-2.89346915,0.13996773,0.17916049,False
Donnan et al. 2024,11.0,-21.25,-5.15490196,0.35902194,0.54406804,False
Donnan et al. 2024,11.0,-20.75,-4.85387196,0.25181197,0.30103,False
Donnan et al. 2024,9.0,-20.25,-4.4202164,0.15261016,0.18184359,False
Donnan et al. 2024,9.0,-19.75,-4.0,0.13672057,0.15490196,False
Donnan et al. 2024,9.0,-19.25,-3.84163751,0.19382003,0.1993211,False
Donnan et al. 2024,9.0,-18.75,-3.63078414,0.17732681,0.22933677,False
Donnan et al. 2024,9.0,-18.25,-3.19314197,0.19400969,0.25055553,False
Donnan et al. 2024,12.5,-21.25,-5.52287875,0.36797679,0.47712125,False
Donnan et al. 2024,12.5,-20.75,-5.39794001,0.35218252,0.60205999,False
Donnan et al. 2024,12.5,-20.25,-4.79588002,0.19382003,0.20411998,False
Donnan et al. 2024,12.5,-19.75,-4.46852108,0.22439594,0.25272532,False
Donnan et al. 2024,12.5,-19.25,-4.36653154,0.25862615,0.31124916,False
Donnan et al. 2024,12.5,-18.75,-4.09691001,0.21418131,0.25963731,False
Donnan et al. 2024,9.0,-18.25,-3.66354027,0.23174199,0.28338129,False
Donnan et al. 2024,14.5,-20.25,-5.52287875,0.47712125,0.47712125,False
McLeod et al. 2024,11.0,-22.57,-6.92081875,0.30103,inf,False
McLeod et al. 2024,11.0,-21.8,-5.88941029,0.29934341,2.11058971,False
McLeod et al. 2024,11.0,-20.8,-4.90170246,0.12752845,0.18131749,False
McLeod et al. 2024,11.0,-20.05,-4.40077214,0.12619369,0.17861209,False
McLeod et al. 2024,11.0,-19.55,-4.00599097,0.15397629,0.24073246,False
McLeod et al. 2024,11.0,-18.85,-3.62911698,0.14339903,0.21554698,False
McLeod et al. 2024,11.0,-18.23,-3.20010832,0.16261971,0.26295466,False
McLeod et al. 2024,13.5,-19.45,-4.60747891,0.2232186,0.48403607,False
McLeod et al. 2024,13.5,-18.95,-4.20767836,0.21512741,0.44499162,False
Morishita et al. 2018,9.0,-23.0,-5.9,,,True
Morishita et al. 2018,9.0,-22.0,-5.9,0.5,0.8,False
Morishita et al. 2018,9.0,-21.0,-5.4,0.5,0.8,False
Morishita et al. 2018,10.0,-23.0,-6.1,0.5,0.8,False
Morishita et al. 2018,10.0,-22.0,-5.9,,,True
Morishita et al. 2018,10.0,-21.0,-4.6,,,True
Rojas-Ruiz et al. 2020,9.7,-23.0,-5.99246558,0.56874933,0.12415693,True
Rojas-Ruiz et al. 2020,9.7,-22.0,-5.53542104,0.50411875,0.1755254,False
Rojas-Ruiz et al. 2020,9.7,-21.0,-4.74637127,0.48435066,0.22693207,False
Rojas-Ruiz et al. 2020,7.7,-23.0,-5.2448572,0.47208554,0.23961335,False
Rojas-Ruiz et al. 2020,7.7,-22.0,-5.15256308,0.46327338,0.24637696,False
Rojas-Ruiz et al. 2020,7.7,-21.0,-4.39441485,0.47935557,0.27266216,False
