6.503688685894214346e-03 8.722236032599592193e+01 -2.707407711396709882e-01
7.054012860496808486e-03 8.527126437529091163e+01 -2.859044286913809407e-01
7.650903946859630329e-03 8.326933966079195670e+01 -2.986401944870192282e-01
8.298302308446543069e-03 8.123822361810745463e+01 -3.090368096848917223e-01
9.000481731395167800e-03 7.919600288574095259e+01 -3.176062117583438593e-01
9.762077637822653281e-03 7.715501145178697584e+01 -3.251740771529314511e-01
1.058811768646353291e-02 7.512125112454830855e+01 -3.325978299137627436e-01
1.148405496264898011e-02 7.309600883037057883e+01 -3.404006081979480403e-01
1.245580397673046701e-02 7.107918599905053725e+01 -3.485335971099016161e-01
1.350977970859061454e-02 6.907256838036269642e+01 -3.564945254210369896e-01
1.465293995599271752e-02 6.708084251321757563e+01 -3.638089767958627152e-01
1.589283126633060650e-02 6.510965730142157781e+01 -3.704917828704563654e-01
1.723763875499642259e-02 6.316281789768515864e+01 -3.769726198754204116e-01
1.869624013924100006e-02 6.124178104108513310e+01 -3.835239291361742797e-01
2.027826434423030122e-02 5.934768898840252405e+01 -3.899839639091572940e-01
2.199415506818450106e-02 5.748260532565222292e+01 -3.961881947222443134e-01
2.385523972622359892e-02 5.564843371745365630e+01 -4.022707547770317249e-01
2.587380422805077296e-02 5.384619803591413500e+01 -4.083464761424759337e-01
2.806317408311686037e-02 5.207667994844234727e+01 -4.143867150232204977e-01
3.043780236867982270e-02 5.034076284848497806e+01 -4.203494659701957903e-01
3.301336514147842904e-02 4.863916353323152464e+01 -4.263348126735062027e-01
3.580686492287828149e-02 4.697212020279900457e+01 -4.323439890589986234e-01
3.883674294064510396e-02 4.534020112832943283e+01 -4.383372608037560125e-01
4.212300086830681606e-02 4.374340575732583858e+01 -4.444228259037439899e-01
4.568733286576438096e-02 4.218209837413786545e+01 -4.505378180871559834e-01
4.955326879281417990e-02 4.065609071171905953e+01 -4.566770066647943827e-01
5.374632954100349441e-02 3.916553872412588078e+01 -4.630343731727899481e-01
5.829419550923826271e-02 3.771037508153994366e+01 -4.693268979855237943e-01
6.322688933533167355e-02 3.629025982585475418e+01 -4.756992262426089080e-01
6.857697408979157583e-02 3.490520161252487696e+01 -4.824063917339037610e-01
7.437976824021902411e-02 3.355509355823551942e+01 -4.891010611373853845e-01
8.067357880540031168e-02 3.223942731620935831e+01 -4.957311865909819759e-01
8.749995423825439322e-02 3.095797941145468357e+01 -5.027598828121060404e-01
9.490395870703706438e-02 2.971070726332775536e+01 -5.099904439113346344e-01
1.029344695854630121e-01 2.849710260306906306e+01 -5.170311896824646425e-01
1.116445001156200906e-01 2.731668347516343331e+01 -5.243733082491581765e-01
